Card,Tier,Energy,Rarity,Type,Card Text,Upgraded Text,Notes
Strike,Starter,1,Starter,Attack,Deal 6 damage.,Deal 9 damage.,Starting card. Remove when possible.
Defend,Starter,1,Starter,Skill,Gain 5 Block.,Gain 8 Block.,Starting card. Remove when possible.
Venerate,Starter,1,Starter,Skill,Gain 2 Stars.,Gain 3 Stars.,Starting card. Worse star generation. Better options exist.
Falling Star,Starter,0,Starter,Attack,Costs 2 Stars. Deal 7 damage. Apply 1 Weak.,Costs 2 Stars. Deal 7 damage. Apply 2 Weak.,Starting card. 0 energy 7 damage with Weak. Actually good starter.
Child of the Stars,S,1,Rare,Power,Gain block equal to Stars spent. Mental Fortress for stars.,Gain block equal to Stars spent +3.,BEST CARD IN CLASS. Mental Fortress but for stars. 3 stars spent = 9 block. Click every time.
Big Bang,S,0,Rare,Skill,Gain 2 energy. Draw 2 cards. Forge 12. Exhaust.,Gain 3 energy. Draw 2 cards. Forge 12. Exhaust.,Adrenaline tier. 0-cost energy + draw + Carnage in hand. Goes infinite with exhaust removal event.
Void Form,S,3,Rare,Power,First two cards each turn cost 0 energy and 0 stars. End your turn.,First two cards each turn cost 0 energy and 0 stars. End your turn.,Echo Form for costs. Cheats energy AND stars. Play this = win fight. End turn clause rarely matters.
Glow,S,1,Common,Skill,Gain 2 Stars. Draw 2 cards.,Gain 3 Stars. Draw 2 cards.,BEST COMMON. Basically Coolheaded for Regent. Stars + draw. Loopable. Core of every deck.
Convergence,S,1,Uncommon,Skill,Next turn gain 1 energy and 1 star. Retain your hand.,Next turn gain 1 energy and 2 stars. Retain your hand.,Runic Pyramid on a card. Retain hand = line up combos. Main infinite enabler. Disgusting.
Comet,S,0,Rare,Attack,Costs 5 Stars. Deal 33 damage. Apply 3 Weak and 3 Vulnerable. Increase damage by 11 per play.,Costs 5 Stars. Deal 44 damage. Apply 3 Weak and 3 Vulnerable. Increase damage by 11 per play.,"Best star payoff. 0 energy, 33 damage + Shockwave. Scales to 66, 99+ damage. Boss killer."
Reflect,S,1,Uncommon,Skill,Costs 3 Stars. Gain block equal to attack damage. Deal that damage back.,Costs 3 Stars. Gain block equal to attack damage +3. Deal that damage back.,Insane output. 17 block turn 1 + deals damage back. AoE fights = deals AoE damage. Gross.
Guards!!!,S,2,Rare,Skill,Transform any number of cards in hand into Minion Sacrifice. Exhaust.,Transform any number of cards in hand into Minion Sacrifice. Exhaust.,"Targeted Fiend Fire. Exhaust bad cards, keep good ones. Minion Sacrifice = 0 energy 9 block. Setup + block same turn."
