Card,Tier,Energy,Rarity,Type,Card Text,Upgraded Text,Notes
Strike,Starter,1,Starter,Attack,Deal 6 damage.,Deal 9 damage.,Starting card. Remove when possible.
Defend,Starter,1,Starter,Skill,Gain 5 Block.,Gain 8 Block.,Starting card. Remove when possible.
Zap,Starter,1,Starter,Skill,Channel 1 Lightning.,Channel 1 Lightning. Costs 0.,Starting card. Upgrade makes it free. Keep until late game.
Dualcast,Starter,1,Starter,Skill,Evoke your rightmost orb twice.,Evoke your rightmost orb twice. Costs 0.,Starting card. Upgrade is important. Evokes for big damage/block.
Echo Form,S,3,Rare,Power,Ethereal. The first card you play each turn is played an additional time.,The first card you play each turn is played an additional time.,"THE GOAT. Best card in class. Double powers, double attacks. Upgrade removes Ethereal."
Capacitor,S,1,Uncommon,Power,Gain 2 orb slots.,Gain 3 orb slots.,More orb slots = more scaling. Works with temp focus. One copy solves endgame.
Defragment,S,1,Rare,Power,Gain 1 Focus.,Gain 2 Focus.,Made rare in STS2. Permanent focus = permanent scaling. Still best focus card.
Chill,S,0,Uncommon,Skill,Channel 1 Frost for each enemy. Exhaust.,Channel 1 Frost for each enemy.,0-cost AoE block setup. Disgusting in multi-enemy fights. Upgrade removes Exhaust.
Glacier,S,2,Uncommon,Skill,Gain 6 Block. Channel 2 Frost.,Gain 9 Block. Channel 2 Frost.,Nerfed -1 block from STS1. Still S tier. 2 Frost = permanent block engine.
Coolheaded,S,1,Common,Skill,Channel 1 Frost. Draw 1 card.,Channel 1 Frost. Draw 2 cards.,Best common. Frost + draw. Upgrade is insane. Click on sight.
Genetic Algorithm,S,1,Rare,Skill,Gain 1 Block. Permanently increase this card's block by 3.,Gain 4 Block. Permanently increase this card's block by 3.,Scales through run. Early = insane late game block. Combo with Echo Form.
Hotfix,S,0,Common,Skill,Gain 2 Focus this turn. Exhaust.,Gain 3 Focus this turn.,Best temp focus card. 0-cost. Loop multiple copies. Upgrade removes Exhaust. NERFED: now exhausts.
Darkness,S,1,Uncommon,Skill,Channel 1 Dark. Trigger the passive of all Dark orbs.,Channel 1 Dark. Trigger the passive of all Dark orbs twice.,Way better than STS1. Boss killer. Dark orbs solve damage. Upgrade triggers twice.
Modded,S,0,Uncommon,Skill,Gain 1 orb slot. Draw 1 card. Increase this card's cost by 1.,Gain 1 orb slot. Draw 2 cards. Increase this card's cost by 1.,Free orb slot + draw. Play twice is still worth it. Disgusting.
