name,tier,energy,type,rarity,notes
Alchemize,S,1,Skill,Rare,"Run-warping levels of good. Potions are broken with 8 slots now. Stockpile for problem fights. Fish for exact potions you need. Exhaust can be removed. Early shop buy = carries entire run."
Anointed,C,1,Skill,Rare,"Awkward. Only works in specific draw orders. Seeking rares is niche. Not buying early game. Can draw 3-5 cards so not 'almost never' but very situational."
Automation,B,1,Power,Uncommon,"~1 energy every 2 turns. Slow to get online. Higher ceiling with draw spam (Silent). Upgrades to 0 cost for power synergies. Bottom of 'good' tier."
Beat Down,D,3,Skill,Rare,"Really bad. Turn 1 brick (no attacks in discard). Can't pick targets. Random attacks worst type to play. 3 energy too much. Almost never pick."
Bolas,B,0,Attack,Rare,"Free damage chipping. Once played, never draw again (returns to hand). Good with Kunai/ninja relics. Can enchant for higher ceiling. Rare = expensive to buy. Great if free, meh if paying."
Calamity,D,3,Power,Rare,"Awkward boss cheese. 3 cost = no other plays that turn. Worse than Serpent Form. Random attacks = worst card gen type. Can't get rid of generated cards (unlike Necro ethereal gen)."
Catastrophe,C,2,Skill,Uncommon,"Random = bad. Often plays Strike+Defend or 2 Defends with no selection. If cost 1 would be great. Usually bad from Neow."
Dark Shackles,S,0,Skill,Uncommon,"Insane. Multi-hit enemies = blocks 30+ easily. Zero cost block 9 minimum. Artifact rarely matters. Loops with retain. Better than Untouchable (no conditions)."
Discovery,A,1,Skill,Uncommon,"Pay 1 energy, pick from 3, cheat out 2-3 cost cards. Very flexible - block in hallways, scaling in bosses. One-card solve potential. Top of 'most time good'. Skip if deck already has scaling."
Dramatic Entrance,A,0,Attack,Uncommon,"Buffed from 8 to 11 damage. Innate AoE exhaust. Carries entire run from Neow. Like starting with Festive Popper (-1 draw). Can enchant/upgrade. Huge Act 1 bump for being uncommon."
Entropy,C,1,Power,Rare,"Worse than Discovery - does nothing turn you play it. Transforms (not exhausts) so you're fishing. Statuses transform to statuses (worse). Can cheese bosses but rare + slow. Situational."
Equilibrium,S,2,Skill,Uncommon,"Insane. Best Neow pick. Massive block + Retain your hand = broken. Not rare so cheaper and from Neow. First shop insta-buy. Equi+Convergence = never discard, hold entire deck."
Eternal Armor,C,3,Power,Rare,"Overcosted still even after buff (9 plating). Not impactful enough in hallways. Only good if generated at 0 cost. Can't imagine buying."
Fasten,S,1,Power,Uncommon,"Super Footwork. Upgrades to +7 block per Defend. Defense says 12 on them. Don't upgrade (5 is plenty). Completely solves block. +5 dex basically. Numbers don't make sense. Disgusting."
Finesse,S,0,Skill,Uncommon,"Buffed from Spire 1. Free 4 block + draw. Not punished by Gremlin Knob. Works with Dex (now colorless). Enables infinites. Never unhappy to take."
Fisticuffs,A,1,Attack,Uncommon,"Iron Wave+ basically. Works with Vuln/Str. DOES work when hitting shield (unlike Spire 1). Always get the 7 block. Great Act 1. Falls off endgame (not engine card)."
Flash of Steel,S,0,Attack,Uncommon,"Buffed from Spire 1 (bigger number). Free damage + draw. Works with Vuln/Str/Kunai/Shuriken/Kusarigama. Zero cost attack that replaces itself = tons of synergies."
Gold Axe,B,1,Attack,Rare,"Boss solve only. ~3 cards/turn = weak until turn 5-6. Scales too slow for early game. Rare hurts. Top of situational. Maybe average but not always picked."
Hand of Greed,B,2,Attack,Rare,"20 damage is big early game. Shop prices cheaper now so gold goes further. Worse than Spire 1. Only want if free. Delayed ROI not worth 200 gold. Average tier."
