Card,Tier,Energy,Rarity,Type,Card Text,Upgraded Text,Notes
Strike,Starter,1,Starter,Attack,Deal 6 damage.,Deal 9 damage.,Starting card. Remove when possible.
Defend,Starter,1,Starter,Skill,Gain 5 Block.,Gain 8 Block.,Starting card. Remove when possible.
Unleash,Starter,1,Starter,Attack,Osty deals damage equal to his HP.,Osty deals damage equal to his HP +2.,Starter. Damage scales with Osty's HP. Core damage source. Keep Osty alive = more damage.
Bodyguard,Starter,1,Starter,Skill,Summon 5.,Summon 8.,Starter. Adds HP to Osty (or revives him). Barricade-style block that carries over turns.
Neurosurge,S,0,Rare,Skill,"Draw 2 cards. Gain 3 energy. At the start of your turn, apply 3 Doom to yourself.","Draw 2 cards. Gain 3 energy. At the start of your turn, apply 3 Doom to yourself.",Offering/Adrenaline tier. 3 energy + 2 cards for 0. Self-doom rarely matters. Top rare.
Capture Spirit,S,1,Uncommon,Skill,Enemy loses 3 HP. Add 3 Souls into your draw pile.,Enemy loses 4 HP. Add 4 Souls into your draw pile.,Two-card infinite with Borrowed Time. Souls = 0-cost draw 2. Disgusting. Nerfed but still strong.
Banshee's Cry,S,6,Uncommon,Attack,Deal 33 damage to ALL enemies. Costs 2 less for each Ethereal card played this combat.,Deal 39 damage to ALL enemies. Costs 2 less for each Ethereal card played this combat.,Often costs 0. Many good cards have Ethereal. 33 AoE damage wins most fights. Top damage card.
Demesne,S,3,Rare,Power,"Ethereal. At the start of your turn, gain 1 energy and draw 1 card.","Costs 2. Ethereal. At the start of your turn, gain 1 energy and draw 1 card.",Draw + energy every turn. Upgrade makes it easier to play. Both resources = S tier.
Dirge,S,X,Rare,Skill,Summon 3 X times. Add X Souls into your draw pile. Exhaust.,Summon 4 X times. Add X+ Souls into your draw pile. Exhaust.,Main infinite enabler. Scales Osty HP (damage) + adds draw. Exhausts now but still broken.
Seance,S,1,Rare,Skill,Ethereal. Transform a card in your draw pile into a Soul.,Costs 0. Ethereal. Transform a card in your draw pile into a Soul.,Zero-cost deck thinning. Transform bad cards into draw 2. Enables infinite quickly. Gross.
Forbidden Grimoire,S,2,Ancient,Power,"At the end of combat, you may remove a card from your deck. Eternal.","At the end of combat, you may remove a card from your deck. Eternal.",Ancient exclusive. Card removal = infinite enabler. Completely broken if offered.
Friendship,S,1,Uncommon,Power,Lose 2 Strength. Gain 1 energy at the start of each turn.,Lose 1 Strength. Gain 1 energy at the start of each turn.,Strength loss doesn't matter - Osty deals your damage. Free energy every turn. Pick every copy.
